Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;28/03/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Bahamas;BHS;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;1483.00;1581.30;1680.49;1792.42;1921.44;2073.83;2246.85;2466.52;2688.94;3057.32;3005.78;3108.95;3123.46;3466.05;3197.70;2953.22;3115.54;3386.63;3871.34;5194.46;5967.77;6257.79;6797.83;7324.19;8463.46;9436.23;9858.30;10617.41;10819.27;11533.26;11696.51;11269.95;11025.88;10730.00;11085.15;11447.02;11835.39;20415.71;21665.39;23991.70;24849.61;25234.14;26590.14;26204.88;26393.41;28280.87;28829.85;29687.87;29013.63;27120.69;27046.66;26644.93;28059.39;26955.79;28203.36;29724.95;29675.54;30708.99;31483.98;32279.01;23998.27;28260.43;31458.30;
Bosnia y Herzegovina;BIH;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;333.78;497.68;712.95;907.15;1000.42;1128.40;1332.21;1382.77;1602.56;2031.40;2451.58;2741.08;3170.17;3936.93;4846.79;4542.31;4506.93;4980.90;4688.35;5025.24;5196.97;4654.61;4917.26;5327.39;6024.49;6094.72;6095.10;7230.20;7568.80;
Belarús;BLR;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;900.51;1603.34;1462.03;1370.48;1452.51;1396.66;1511.26;1210.59;1276.28;1244.37;1479.38;1819.53;2378.34;3126.07;3848.22;4735.48;6376.18;5352.49;6034.68;6527.66;6953.22;7998.08;8341.29;5967.07;5039.78;5785.53;6360.05;6837.77;6542.86;7489.72;7888.26;
Belice;BLZ;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;307.13;319.60;331.20;341.39;355.64;382.59;411.34;425.73;391.90;401.20;441.17;479.93;527.76;616.47;802.06;903.62;727.46;863.91;981.05;1070.35;1363.84;1318.13;1195.51;1231.01;1342.23;1301.08;1385.47;1643.95;1831.02;2065.72;2988.60;3190.87;3644.92;3862.55;3878.97;4011.14;4042.15;4011.02;4119.71;4283.48;4720.17;4708.29;4844.23;4937.09;5123.60;5236.37;5486.83;5717.93;5665.97;5352.10;5399.06;5519.34;5635.52;5865.47;6031.55;6098.60;6099.96;6049.39;6001.02;6134.22;5185.16;6060.97;6984.22;
Bermudas;BMU;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;1902.40;1961.54;2020.39;2020.27;2199.73;2282.22;2630.85;2982.75;2830.19;3053.70;3387.27;3866.30;4343.17;5009.29;5853.93;6509.43;7261.28;8370.79;8876.87;9613.38;11218.22;13425.98;14166.17;15902.02;17469.83;18269.54;20450.66;22411.80;24253.18;25517.92;26841.52;27700.31;28669.68;30900.69;31476.06;33989.72;44826.79;48478.88;51371.74;54245.46;56284.17;58883.96;62583.10;66111.73;70359.32;75882.03;95221.86;104287.39;106935.49;101407.76;101875.28;97774.16;98431.87;99471.64;98467.68;102005.63;106885.88;111820.58;113050.74;116153.17;107791.89;111774.67;118774.79;
Bolivia;BOL;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;100.67;107.27;114.88;121.14;133.66;145.38;157.59;174.20;193.50;205.15;219.56;231.36;268.30;257.76;419.11;469.19;521.20;601.99;685.38;803.96;775.85;985.59;934.78;884.55;986.78;842.09;607.08;652.71;675.71;678.64;685.94;737.52;763.26;760.12;777.42;856.37;925.85;973.96;1025.41;981.75;977.33;930.88;888.20;892.36;951.95;1018.31;1200.07;1351.04;1687.58;1725.15;1922.06;2304.98;2562.47;2853.80;3022.46;2975.65;3013.50;3280.01;3471.01;3472.38;3068.81;3345.02;3600.12;
Brasil;BRA;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2875.58;3065.24;2656.50;2505.38;2766.35;3393.14;4704.96;5121.91;5240.13;5049.76;3456.42;3726.81;3142.24;2824.72;3056.65;3623.22;4773.27;5866.02;7323.19;8801.76;8569.90;11249.29;13200.56;12327.51;12258.57;12071.40;8783.22;8680.74;9896.72;9121.02;8845.32;6923.70;7696.78;8917.67;
Barbados;BRB;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1268.29;1627.66;1755.17;1983.06;2202.64;2656.65;3992.04;4374.85;4552.94;4818.68;5235.13;5465.20;5990.46;6589.38;7005.50;7753.03;7772.81;7789.39;7520.79;7905.68;8220.28;8451.96;8994.32;9491.48;10685.26;11173.95;11560.25;11510.04;11658.63;11998.18;12828.44;14173.75;15595.64;17219.02;17551.86;16309.89;16494.24;16902.49;16704.92;16923.59;16964.75;17023.69;17381.37;17881.56;18271.25;19063.10;16882.50;17507.47;20238.78;
Brunei Darussalam;BRN;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;1059.00;1179.05;1181.94;1309.98;1259.34;1342.99;1424.47;1882.20;2905.41;6957.19;7317.77;8621.12;10159.01;11020.68;15409.83;26228.08;22494.86;21254.06;18526.29;17619.33;15863.26;10262.93;11587.49;10949.80;11762.35;13440.67;13717.39;15080.72;14420.59;14000.45;15827.99;16706.47;16593.43;12653.81;14065.70;17971.89;16437.42;16817.24;18521.37;21839.26;25991.21;30767.75;32337.27;37427.54;27497.55;34609.71;46139.11;46844.20;43950.05;41035.78;30681.43;26762.04;28186.99;31240.50;30748.31;27179.35;31448.91;37152.48;
Bhután;BTN;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;309.85;324.69;319.85;343.62;341.21;337.01;383.09;472.24;514.69;486.58;515.30;423.27;440.03;433.87;496.79;550.66;564.49;644.09;652.36;699.33;722.83;765.01;841.37;951.74;1050.13;1201.43;1299.63;1714.03;1780.11;1768.75;2194.13;2491.27;2470.07;2409.44;2589.90;2695.64;2879.55;3427.17;3389.78;3564.60;3181.34;3560.20;0.00;
Botswana;BWA;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;59.30;62.74;66.45;69.38;74.01;80.19;89.53;101.33;113.70;131.85;162.51;210.96;262.47;371.43;442.54;487.92;485.40;559.66;695.09;917.59;1130.32;1092.66;992.12;1105.13;1128.87;978.99;1180.91;1610.37;2096.74;2369.13;2825.72;2855.95;2918.62;2845.00;2832.81;3064.59;3063.99;3100.17;2893.33;3242.14;3351.70;3115.68;3029.79;4111.74;4818.21;5240.32;5142.91;5372.34;5345.85;4938.25;6041.73;7080.78;6392.99;6436.60;6844.03;5869.74;6411.55;6705.34;6947.82;6691.16;5875.07;7238.80;7738.88;
República Centroafricana;CAF;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;66.77;71.99;71.44;72.84;78.39;81.43;83.61;84.84;97.08;93.02;91.47;95.42;106.94;123.49;125.66;165.79;194.60;216.60;258.07;293.17;330.00;284.64;303.25;263.99;252.75;338.75;434.38;459.17;476.02;452.97;512.85;475.28;471.94;413.96;267.01;340.40;299.62;271.14;272.10;273.43;243.88;242.58;253.41;283.68;309.19;317.88;340.41;388.48;446.23;452.92;459.78;515.21;525.87;352.23;394.86;351.88;372.14;414.74;435.93;426.41;435.47;461.14;427.06;
Canadá;CAN;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;2259.25;2240.43;2268.59;2374.50;2555.11;2770.36;3047.11;3217.16;3462.68;3763.95;4135.82;4535.39;5106.74;5858.33;7056.71;7536.52;8838.95;8949.11;9154.43;10077.50;11208.20;12379.04;12527.31;13477.10;13930.47;14170.12;14521.18;16377.69;19012.57;20794.68;21525.86;21846.79;20950.33;20186.80;19997.62;20679.63;21296.97;21901.56;21024.59;22315.25;24271.00;23822.06;24255.34;28300.46;32143.68;36382.51;40504.06;44659.90;46710.51;40876.31;47562.08;52223.70;52669.09;52635.17;50956.00;43596.14;42315.60;45129.43;46548.64;46374.15;43562.44;52515.20;55522.45;
Suiza;CHE;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;1787.36;1971.32;2131.39;2294.18;2501.29;2620.48;2784.73;2960.72;3121.89;3344.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19393.88;17665.01;17999.97;17859.23;16991.25;17152.09;24459.85;30440.51;32690.43;31308.65;39574.54;39544.49;40713.69;39237.12;43091.78;50113.83;48092.64;41584.44;42680.59;41695.69;38865.02;39638.79;42458.74;49335.75;54659.46;56242.89;59011.03;64989.16;74175.19;71568.31;76531.37;90476.76;85836.21;87304.33;88724.99;83806.45;82153.07;82254.38;85217.37;84121.93;85897.78;93446.43;93259.91;
Chile;CHL;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;504.80;580.89;663.59;645.95;675.83;679.12;781.81;756.73;757.74;865.71;931.13;1089.31;1166.39;1632.39;1547.80;716.34;956.85;1273.09;1435.84;1929.01;2531.57;2965.37;1653.99;1700.16;1619.37;1437.38;1510.02;1750.26;2015.93;2280.27;2483.56;2790.62;3333.96;3520.93;4010.97;5094.39;5376.77;5789.71;5467.19;4980.01;5102.97;4610.59;4477.19;4823.26;6185.30;7560.54;9418.27;10456.83;10797.05;10204.56;12764.59;14637.76;15397.78;15842.16;14675.15;13567.36;13788.24;15034.06;15820.03;14632.69;13173.78;16240.61;15355.48;
China;CHN;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;89.52;75.81;70.91;74.31;85.50;98.49;104.32;96.59;91.47;100.13;113.16;118.65;131.89;157.09;160.15;178.34;165.40;185.42;228.52;272.15;312.02;291.36;281.50;297.81;302.59;294.79;281.70;301.73;370.22;407.89;347.58;359.21;423.30;525.37;473.49;609.60;709.42;781.74;828.59;873.30;959.36;1053.11;1148.51;1288.64;1508.67;1753.41;2099.22;2693.96;3468.33;3832.23;4550.47;5614.39;6300.58;7020.39;7636.07;8016.45;8094.39;8817.05;9905.41;10143.86;10408.72;12617.51;12720.22;
Côte d'Ivoire;CIV;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;147.28;160.65;161.39;183.10;213.14;204.72;219.24;222.98;253.71;259.05;265.74;277.00;309.27;400.87;468.80;568.11;652.70;844.82;1025.93;1143.39;1225.42;978.07;845.66;736.71;711.09;700.28;888.34;946.00;928.64;851.21;906.41;848.28;868.73;829.48;602.33;769.26;1220.12;1176.85;1237.13;1154.48;986.78;974.78;1020.95;1173.06;1267.76;1267.09;1303.56;1451.23;1683.34;1638.80;1654.18;1701.70;1649.30;1903.05;2124.02;1941.58;1999.20;2113.34;2295.54;2290.79;2349.07;2613.38;2486.41;
Camerún;CMR;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;120.02;125.53;130.90;132.35;139.78;143.07;146.00;156.68;170.75;175.07;178.41;186.64;220.02;271.68;299.86;386.22;381.43;435.39;581.89;718.03;783.41;748.77;730.77;743.47;768.98;871.54;1172.49;1250.70;1137.23;993.09;1077.33;1005.30;995.31;1295.92;692.86;822.36;817.18;773.93;789.27;786.85;700.16;706.98;780.27;976.52;1119.98;1129.36;1177.97;1311.00;1476.01;1445.86;1383.81;1497.93;1433.72;1559.14;1631.71;1399.68;1426.07;1479.86;1594.06;1538.69;1539.13;1654.26;1563.49;
