WB_country_code,WB_country_name,Latitude,Longitude,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BGR,Bulgaria,42.68,23.32,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-29.965730286014487,-27.99632955854522,-27.321531710238496,-35.6910999246867,-31.0749997169602,-32.9636115927889,-32.48893910070073,-20.485863648216576,-41.840437028951165,-44.06439392047939,-55.09186377942258,-76.25313563070854,-78.62251256102138,-76.81562669635518,-80.42699706928673,-67.33156711595598,-79.42178462400948,-80.60766564234982,-74.1678991274178,-77.62257977135177,-78.28310202524277,-76.482939334399,-74.87880702898157,-71.72446562734591,-69.11227141190493,-67.26450814470067,-66.3463074757715,-61.56226297514191,-56.75732764490823,-53.29659105465117,-56.33746097692766,-55.23482537278429,-56.9871977538291,-57.097397444866196,-56.9031684430186,-56.91024034768717,-54.198628650314205,-51.75038479838325,-48.66083290297097,-46.1923268387496,-40.041255601097305,-35.482981611121176,-20.92182699212656
BHR,Bahrain,26.23,50.57,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,165.09009651043365,196.02887222747242,212.41856556784867,220.28213958634026,227.02246119919653,194.3697700042145,102.49883625937319,84.55565370645716,77.39432088510429,74.37090006882362,55.12798569043127,61.50126826155894,51.138155348172845,64.35530675362811,59.938815935767806,37.99544793483566,34.97718670202033,38.574973873911574,30.48272423124428,28.97635724656685,70.63676918809946,63.231170302982264,53.87327823890165,47.95764528760152,43.772836499449944,48.61923207322366,41.796168906236176,36.31285309443976,37.70846167445727,29.974414809781848,34.77773820702619,35.26436100052812,45.30703016510088,43.92965379765447,38.70235373147751,38.75828334877573,38.33811736472374,40.16829013228534,38.111296348834045,40.967053580536444,38.44871670252697,41.76558993705031,70.59448824077154
BHS,Bahamas,25.08,-77.35,541.2171065118414,548.8446886693862,560.6620197804895,561.623246492986,550.5740793580524,479.16265076590696,469.4708722412444,496.37941885079675,523.3539534698446,553.124447442124,391.154350674054,348.5803300292116,287.30744712993567,242.19407023828063,146.24183091011128,88.63625799626692,82.2277967391108,77.11748484948482,80.11238498604875,101.57094606227226,86.68412264205436,101.62065180119622,127.78048505956174,154.21419511045866,197.0833649401325,230.4018068892312,194.4326042671359,169.52532849432967,150.55607248009252,160.4419375591202,121.95723882027525,111.10644545660068,94.47978613812566,94.57371007962975,88.91733792840701,65.52154448461424,65.65967968687355,190.807526365182,207.4308769391271,223.47164154174197,232.86236944259832,235.10048575267447,219.15070285735942,172.46174288976084,140.503551827546,137.39193491659353,114.5033676574134,93.78114650032323,72.54506015731181,81.25067805766413,72.05457833692031,51.80592304607622,62.42164215383467,50.4314737327046,53.6190568902359,80.9388730921386,79.52621772258556,76.7738205188212,71.08588900315213,75.89615306427903,41.78734028874226,49.21253373648844,78.01522707037377
BLR,Belarus,53.9,27.57,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.11637055588818,-70.92564656858588,-75.08352926469476,-80.18314231256048,-79.66925117448764,-80.105554018293,-78.55529085407531,-83.6780413837278,-82.90413471792115,-83.47520496216414,-82.24359981582946,-81.08167963218277,-78.32795317264704,-73.75951284438153,-71.368004013666,-69.09017913277879,-62.08063721520374,-64.22869618004312,-61.61099659631739,-62.80953068253699,-59.75131994469992,-55.36532368622586,-54.56636716164471,-63.677822117046205,-69.51116503511201,-66.6960638618771,-65.43909606236258,-62.739333128917664,-61.34326694042528,-60.45495067920579,-55.362165308038044
BMU,Bermuda,32.28,-64.78,722.5565903089191,704.8661295216262,694.2891288518844,645.7278964709078,644.7993794166293,537.3601427460148,566.7968241030233,621.1985759601438,556.0987324264653,552.3511196583981,453.49107300191724,457.85590954886413,438.5508651147519,394.5541276392195,350.7872662287356,315.7883655429124,324.71194589245215,337.7842489445907,312.9924591772117,273.04707350833894,250.92899999590247,332.5736144341412,374.6775182721857,451.9407900300807,513.2238920408528,539.6928674942308,510.7889882415574,468.9285576378059,461.6628040480301,476.24093511102876,409.35447111481926,418.876657140975,405.68963520811934,460.34127654431626,436.426973353975,391.48432963335284,527.4395413071092,590.5477778511987,628.9626024774459,631.3724326490787,653.9306326461464,681.9582359074276,651.1596536156791,587.3878903951206,541.132250973667,536.9599636467689,608.4813013110629,580.7133687841648,535.9490541170345,577.7196767600261,548.0692382481124,457.0551924457953,469.772399388325,455.1187852334896,436.3372355552509,520.9189163061216,546.6206769733644,543.6861368358415,514.3246932365035,532.9467901655355,536.8594647779474,490.1602246766897,572.1190023645893
BRA,Brazil,-15.78,-47.92,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-35.06418594514865,-41.832888039127866,-50.23897423187683,-55.80889991594889,-49.836068697224256,-42.17281894982071,-31.967250346524196,-28.30874436879609,-25.35800894840389,-28.344140348633168,-53.39830644524116,-50.079103572958694,-58.272160241978376,-66.09602757355772,-68.21888951966247,-66.98428588603743,-59.93278137556134,-56.35492225087053,-52.199462129155705,-47.655629140847914,-42.72637658236661,-28.43878513872935,-24.7915759011147,-28.642268493084906,-31.588918337933315,-34.249072332346444,-46.53562314081828,-47.48468202320304,-43.03033069452861,-50.43581480754559,-51.7997063533693,-59.09317596821917,-59.361692464964996,-49.53697275476869
BRB,Barbados,13.1,-59.62,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-2.334161514530748,3.966413504650469,2.6598156347166517,3.712126658542376,2.4768539228459407,3.0912652819225843,24.87922372209161,40.953932383870885,52.55910807523592,67.25083015253088,83.7629097672862,91.35946824219273,78.91388358622753,67.27288567305642,62.23558204567296,75.07748504360308,47.499676867255594,45.90929286955052,32.65531919354775,43.35857300114887,40.093134926106174,22.213595601491036,25.893288704575042,35.1995017731246,51.62334267338724,50.654432533140536,54.85040635844173,52.84927463478897,39.93382354714553,24.749475452857283,16.896050355242622,18.97561629200472,16.036583637190713,12.393426581698046,4.381517913226121,9.000863235629904,4.92643114484246,-3.7003251189973816,-3.3036520591347327,-5.554962976486235,-7.595800806051846,3.62497782064928,5.1509632153894,2.9337558166690747,-0.712900673649152,3.8794546511698345,-0.2542778114967823,-7.562129875038721,14.526564287559696
BWA,Botswana,-24.63,25.9,-74.3599633067079,-74.25629812994543,-73.87607708798414,-74.3902540466613,-74.94119638745448,-77.60517835843918,-77.30835294222639,-75.49943786705511,-73.641901823945,-71.83335130269515,-73.44533081994008,-69.56126459963573,-67.453853851756,-63.32968551849958,-65.92180009038977,-68.83422061291114,-71.60897547867646,-70.73032141956381,-67.66124450966522,-64.39293316393227,-64.64126507811682,-64.79542755555954,-66.75621855249508,-61.64221116022096,-60.37453970598698,-65.72147299011486,-64.7303889407805,-59.12039722988811,-51.44303271737287,-46.500745883693035,-46.37810689861949,-46.50291679184214,-48.519973605874874,-48.40985972259584,-51.72217569839192,-55.686661680323446,-57.113402941197236,-55.840244154548316,-58.94378180248384,-56.28736821866966,-55.103729850860574,-58.62486768124878,-63.634655251525594,-57.24873204114863,-56.095229132916124,-56.012325491325996,-61.73509350346992,-64.93321330935676,-68.20804532759378,-66.99710955295532,-61.566148737939486,-59.658203501146545,-62.99420856714835,-64.07943436909375,-62.7216957863006,-64.2702799855391,-61.2124557383204,-61.40125189146004,-62.245117633352564,-63.53824657145367,-65.2887250076701,-61.77978575656166,-56.20747209892543
CAN,Canada,45.42,-75.7,876.8508077457032,819.3012747964033,791.8656174412348,776.4822970049403,765.1263302047179,673.6839765920244,672.2991697331902,677.8765269083685,702.7234775045041,704.079312584153,575.8066081365787,554.3967394172265,533.2331557171623,478.3776308763655,443.4084468842266,381.3935064485632,416.9897943814438,368.02982753987686,325.90581568341565,291.05724347526956,250.615553782514,298.842101360557,319.76288731720246,367.774611106916,388.9856988510099,396.1550589416783,333.6963618911829,315.7513251563515,340.2991021531797,369.58160573176065,308.4825686321655,309.2296932583382,269.53201902461836,266.05969903406054,240.80703782121762,199.02317782011065,198.09319578830568,211.97242158801316,198.33795472805252,200.8686566151776,225.1118455678501,216.34856102206604,191.12704216842127,194.25025629508553,192.9014935473686,205.39776343593084,201.36324933351827,191.50783214120065,177.7890170216107,173.18106228105833,202.56133730474932,197.53754216585932,204.8747705687155,193.73971949148736,177.54893966175877,165.3742543811548,155.99398085634974,159.78391861590708,152.94818051236493,152.7039889583304,157.37699026171126,177.2755422220553,214.18867339473127
CHE,Switzerland,46.92,7.47,672.8157838806505,708.879094205865,737.9272845062675,746.8343466594204,746.903592595919,631.8266893038694,605.7981716876341,615.8719462967788,623.7210476239607,614.5335095166577,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,506.68046396313616,469.1515423615444,503.1398104479753,519.8732938034865,496.4248338787005,500.5662778383649,630.529334214165,672.7391574107928,657.0553048852087,607.006125619326,650.980901652077,640.7394639101408,618.1276890455862,611.5109050549528,634.3864868041092,624.635629328803,573.1515681102289,492.3412965643287,505.63558800369333,462.16830360147867,420.59982613948347,426.3891610194862,409.6150946718551,412.96187701578936,398.07108179563295,372.1074168652212,339.0610656639785,324.2026772177643,341.1224180059521,378.29921417711364,386.84653095416706,415.4792324850659,396.8624829143258,387.21699587162436,383.27040772431417,410.138608167639,396.9961770333013,373.490694646972,363.0764441141351,358.40079591482413,407.50398936704687,393.38876262425606,427.7362112769165
