game_year,WB_country_code,WB_country_name,game_city,game_name,gold,silver,bronze,sum_medals
1976,IRN,Iran,Montreal,Montreal 1976,0,1,1,2
1976,ITA,Italy,Montreal,Montreal 1976,2,7,4,13
1976,JAM,Jamaica,Montreal,Montreal 1976,1,1,0,2
1976,JPN,Japan,Montreal,Montreal 1976,9,6,10,25
1976,KOR,South Korea,Montreal,Montreal 1976,1,1,4,6
1976,MEX,Mexico,Montreal,Montreal 1976,1,0,1,2
1976,MNG,Mongolia,Montreal,Montreal 1976,0,1,0,1
1976,NLD,Netherlands,Montreal,Montreal 1976,0,2,3,5
1976,NOR,Norway,Montreal,Montreal 1976,2,1,0,3
1976,NZL,New Zealand,Montreal,Montreal 1976,2,1,1,4
1976,PAK,Pakistan,Montreal,Montreal 1976,0,0,1,1
1976,POL,Poland,Montreal,Montreal 1976,7,7,13,27
1976,PRI,Puerto Rico,Montreal,Montreal 1976,0,0,1,1
1976,PRK,North Korea,Montreal,Montreal 1976,1,1,0,2
1976,PRT,Portugal,Montreal,Montreal 1976,0,2,0,2
1976,ROU,Romania,Montreal,Montreal 1976,4,10,15,29
1976,RUS,Russia,Montreal,Montreal 1976,53,43,36,132
1976,SWE,Sweden,Montreal,Montreal 1976,5,1,0,6
1976,THA,Thailand,Montreal,Montreal 1976,0,0,1,1
1976,TTO,Trinidad and Tobago,Montreal,Montreal 1976,1,0,0,1
1976,USA,United States,Montreal,Montreal 1976,34,37,26,97
1976,VEN,Venezuela,Montreal,Montreal 1976,0,1,0,1
1976,YGL,Yugoslavia,Montreal,Montreal 1976,2,3,3,8
1980,AUS,Australia,Moscow,Moscow 1980,2,2,5,9
1980,AUT,Austria,Moscow,Moscow 1980,1,3,1,5
1980,BEL,Belgium,Moscow,Moscow 1980,1,0,0,1
1980,BGR,Bulgaria,Moscow,Moscow 1980,8,16,19,43
1980,BRA,Brazil,Moscow,Moscow 1980,4,0,2,6
1980,CHE,Switzerland,Moscow,Moscow 1980,2,0,0,2
1980,CUB,Cuba,Moscow,Moscow 1980,8,7,5,20
1980,CZE,Czech Republic,Moscow,Moscow 1980,2,3,10,15
1980,DEU,Germany,Moscow,Moscow 1980,51,40,43,134
1980,DNK,Denmark,Moscow,Moscow 1980,2,2,2,6
1980,ESP,Spain,Moscow,Moscow 1980,2,4,3,9
1980,ETH,Ethiopia,Moscow,Moscow 1980,2,0,2,4
1980,FIN,Finland,Moscow,Moscow 1980,3,1,5,9
1980,FRA,France,Moscow,Moscow 1980,6,5,3,14
1980,GBR,Great Britain,Moscow,Moscow 1980,5,7,10,22
1980,GRC,Greece,Moscow,Moscow 1980,1,0,2,3
1980,GUY,Guyana,Moscow,Moscow 1980,0,0,1,1
1980,HUN,Hungary,Moscow,Moscow 1980,8,11,17,36
1980,IND,India,Moscow,Moscow 1980,1,0,0,1
1980,IRL,Ireland,Moscow,Moscow 1980,0,2,1,3
1980,ITA,Italy,Moscow,Moscow 1980,8,3,5,16
1980,JAM,Jamaica,Moscow,Moscow 1980,0,0,3,3
1980,LBN,Lebanon,Moscow,Moscow 1980,0,0,1,1
1980,MEX,Mexico,Moscow,Moscow 1980,0,1,3,4
1980,MNG,Mongolia,Moscow,Moscow 1980,0,2,2,4
1980,NLD,Netherlands,Moscow,Moscow 1980,0,1,2,3
1980,POL,Poland,Moscow,Moscow 1980,3,15,15,33
1980,PRK,North Korea,Moscow,Moscow 1980,0,3,2,5
1980,ROU,Romania,Moscow,Moscow 1980,7,7,14,28
1980,RUS,Russia,Moscow,Moscow 1980,84,71,47,202
1980,SWE,Sweden,Moscow,Moscow 1980,3,3,7,13
1980,TZA,Tanzania,Moscow,Moscow 1980,0,2,0,2
1980,UGA,Uganda,Moscow,Moscow 1980,0,1,0,1
1980,VEN,Venezuela,Moscow,Moscow 1980,0,1,0,1
1980,YGL,Yugoslavia,Moscow,Moscow 1980,2,4,4,10
1980,ZWE,Zimbabwe,Moscow,Moscow 1980,1,0,0,1
1984,AUS,Australia,Los Angeles,Los Angeles 1984,4,8,14,26
1984,AUT,Austria,Los Angeles,Los Angeles 1984,1,1,1,3
1984,BEL,Belgium,Los Angeles,Los Angeles 1984,1,2,2,5
1984,BRA,Brazil,Los Angeles,Los Angeles 1984,1,5,2,8
1984,CAN,Canada,Los Angeles,Los Angeles 1984,11,22,18,51
1984,CHE,Switzerland,Los Angeles,Los Angeles 1984,0,4,4,8
1984,CHN,China,Los Angeles,Los Angeles 1984,15,8,10,33
1984,CIV,Côte d'Ivoire,Los Angeles,Los Angeles 1984,0,1,0,1
1984,CMR,Cameroon,Los Angeles,Los Angeles 1984,0,0,1,1
1984,COL,Colombia,Los Angeles,Los Angeles 1984,0,1,0,1
1984,DEU,Germany,Los Angeles,Los Angeles 1984,17,20,25,62
1984,DNK,Denmark,Los Angeles,Los Angeles 1984,0,3,3,6
1984,DOM,Dominican Republic,Los Angeles,Los Angeles 1984,0,0,1,1
1984,DZA,Algeria,Los Angeles,Los Angeles 1984,0,0,2,2
1984,EGY,Egypt,Los Angeles,Los Angeles 1984,0,1,0,1
1984,ESP,Spain,Los Angeles,Los Angeles 1984,2,3,3,8
1984,FIN,Finland,Los Angeles,Los Angeles 1984,4,2,6,12
1984,FRA,France,Los Angeles,Los Angeles 1984,5,8,18,31
1984,GBR,Great Britain,Los Angeles,Los Angeles 1984,5,11,22,38
1984,GRC,Greece,Los Angeles,Los Angeles 1984,0,1,1,2
1984,IRL,Ireland,Los Angeles,Los Angeles 1984,0,1,0,1
1984,ISL,Iceland,Los Angeles,Los Angeles 1984,0,0,1,1
1984,ITA,Italy,Los Angeles,Los Angeles 1984,14,6,13,33
1984,JAM,Jamaica,Los Angeles,Los Angeles 1984,0,1,2,3
1984,JPN,Japan,Los Angeles,Los Angeles 1984,10,8,15,33
1984,KEN,Kenya,Los Angeles,Los Angeles 1984,1,0,2,3
1984,KOR,South Korea,Los Angeles,Los Angeles 1984,6,6,7,19
1984,MAR,Morocco,Los Angeles,Los Angeles 1984,2,0,0,2
1984,MEX,Mexico,Los Angeles,Los Angeles 1984,2,3,1,6
1984,NGA,Nigeria,Los Angeles,Los Angeles 1984,0,1,1,2
1984,NLD,Netherlands,Los Angeles,Los Angeles 1984,5,3,6,14
1984,NOR,Norway,Los Angeles,Los Angeles 1984,0,1,3,4
1984,NZL,New Zealand,Los Angeles,Los Angeles 1984,10,1,2,13
1984,PAK,Pakistan,Los Angeles,Los Angeles 1984,1,0,0,1
1984,PER,Peru,Los Angeles,Los Angeles 1984,0,1,0,1
1984,PRI,Puerto Rico,Los Angeles,Los Angeles 1984,0,1,1,2
1984,PRT,Portugal,Los Angeles,Los Angeles 1984,1,0,2,3
1984,ROU,Romania,Los Angeles,Los Angeles 1984,24,17,17,58
1984,SWE,Sweden,Los Angeles,Los Angeles 1984,3,12,6,21
1984,SYR,Syria,Los Angeles,Los Angeles 1984,0,1,0,1
1984,THA,Thailand,Los Angeles,Los Angeles 1984,0,1,0,1
1984,TUR,Turkey,Los Angeles,Los Angeles 1984,0,0,3,3
1984,USA,United States,Los Angeles,Los Angeles 1984,87,63,30,180
1984,VEN,Venezuela,Los Angeles,Los Angeles 1984,0,0,3,3
1984,YGL,Yugoslavia,Los Angeles,Los Angeles 1984,8,5,8,21
1984,ZMB,Zambia,Los Angeles,Los Angeles 1984,0,0,1,1
1988,ARG,Argentina,Seoul,Seoul 1988,0,1,1,2
1988,AUS,Australia,Seoul,Seoul 1988,3,6,7,16
1988,AUT,Austria,Seoul,Seoul 1988,1,0,0,1
1988,BEL,Belgium,Seoul,Seoul 1988,0,0,2,2
1988,BGR,Bulgaria,Seoul,Seoul 1988,10,14,14,38
1988,BRA,Brazil,Seoul,Seoul 1988,1,2,5,8
1988,CAN,Canada,Seoul,Seoul 1988,4,2,6,12
1988,CHE,Switzerland,Seoul,Seoul 1988,0,3,2,5
1988,CHL,Chile,Seoul,Seoul 1988,0,1,0,1
1988,CHN,China,Seoul,Seoul 1988,6,12,12,30
1988,COL,Colombia,Seoul,Seoul 1988,0,0,1,1
1988,CRI,Costa Rica,Seoul,Seoul 1988,0,1,0,1
1988,CZE,Czech Republic,Seoul,Seoul 1988,3,4,3,10
1988,DEU,Germany,Seoul,Seoul 1988,50,50,46,146
1988,DJI,Djibouti,Seoul,Seoul 1988,0,0,1,1
1988,DNK,Denmark,Seoul,Seoul 1988,3,1,1,5
1988,ESP,Spain,Seoul,Seoul 1988,1,2,2,5
1988,FIN,Finland,Seoul,Seoul 1988,1,1,2,4
1988,FRA,France,Seoul,Seoul 1988,8,4,7,19
1988,GBR,Great Britain,Seoul,Seoul 1988,7,10,9,26
1988,GRC,Greece,Seoul,Seoul 1988,0,0,1,1
1988,HUN,Hungary,Seoul,Seoul 1988,11,6,7,24
1988,IDN,Indonesia,Seoul,Seoul 1988,0,1,0,1
1988,IRN,Iran,Seoul,Seoul 1988,0,1,0,1
1988,ITA,Italy,Seoul,Seoul 1988,6,4,4,14
1988,JAM,Jamaica,Seoul,Seoul 1988,0,2,0,2
1988,JPN,Japan,Seoul,Seoul 1988,4,3,8,15
1988,KEN,Kenya,Seoul,Seoul 1988,5,2,2,9
1988,KOR,South Korea,Seoul,Seoul 1988,13,10,12,35
1988,MAR,Morocco,Seoul,Seoul 1988,1,0,2,3
1988,MEX,Mexico,Seoul,Seoul 1988,0,0,2,2
1988,MNG,Mongolia,Seoul,Seoul 1988,0,0,1,1
1988,NLD,Netherlands,Seoul,Seoul 1988,3,3,6,12
1988,NOR,Norway,Seoul,Seoul 1988,2,4,0,6
1988,NZL,New Zealand,Seoul,Seoul 1988,4,4,9,17
1988,PAK,Pakistan,Seoul,Seoul 1988,0,0,1,1
1988,PER,Peru,Seoul,Seoul 1988,0,1,0,1
1988,PHL,Philippines,Seoul,Seoul 1988,0,0,1,1
1988,POL,Poland,Seoul,Seoul 1988,2,6,10,18
1988,PRT,Portugal,Seoul,Seoul 1988,1,0,0,1
1988,ROU,Romania,Seoul,Seoul 1988,8,12,6,26
