WB_country_code,WB_country_name,Region,year,medals_cumsum,GDP_deviation,GDP_dev_sign,GDP_cumsum,ratio_medal_gdp,GDP
CAN,Canada,Americas,1964,6,765.1263302047179,positive,218031632846.43,2.7518942649143413e-11,49377522896.7
CHE,Switzerland,Europe,1964,11,746.903592595919,positive,59659642310.17,1.8437924824978147e-10,14480556571.55
CHL,Chile,Americas,1964,0,128.82706722695087,positive,26126026493.269997,0.0,5964195925.44
CHN,China,Asia,1964,1,-71.05083490240993,negative,267396861413.7,3.7397596767333085e-12,59708125203.86
CIV,Côte d'Ivoire,Africa,1964,0,-27.83362515906026,negative,3491844193.41,0.0,921063326.29
CMR,Cameroon,Africa,1964,0,-52.67234739951883,negative,3456202563.1400003,0.0,776650176.9
COL,Colombia,Americas,1964,0,14.008922475561755,positive,24336672289.989998,0.0,5973366666.67
CRI,Costa Rica,Americas,1964,0,18.471495528032346,positive,2531500340.0,0.0,542578367.24
CUB,Cuba,Americas,1964,1,-100.0,negative,0.0,,0.0
CYP,Cyprus,Asia,1964,0,-100.0,negative,0.0,,0.0
CZE,Czech Republic,Europe,1964,24,-100.0,negative,0.0,,0.0
DEU,Germany,Europe,1964,98,-100.0,negative,0.0,,0.0
DJI,Djibouti,Africa,1964,0,-100.0,negative,0.0,,0.0
DNK,Denmark,Europe,1964,14,-100.0,negative,0.0,,0.0
DOM,Dominican Republic,Americas,1964,0,-7.4574759710722995,negative,4116999700.0,0.0,1025599900.0
DZA,Algeria,Africa,1964,0,-19.118402824417352,negative,12772105504.09,0.0,2909316435.29
ECU,Ecuador,Americas,1964,0,46.59450901348067,positive,9410013568.92,0.0,2244146103.18
EGY,Egypt,Africa,1964,2,-100.0,negative,0.0,,0.0
ERI,Eritrea,Africa,1964,0,-100.0,negative,0.0,,0.0
ESP,Spain,Europe,1964,1,128.6273010584412,positive,82463730447.58,1.212654332483386e-11,21343844643.73
EST,Estonia,Europe,1964,0,-100.0,negative,0.0,,0.0
ETH,Ethiopia,Africa,1964,2,-100.0,negative,0.0,,0.0
FIN,Finland,Europe,1964,11,478.1368351360824,positive,32138917949.4,3.422641676150568e-10,7766655085.79
FJI,Fiji,Oceania,1964,0,4.156048740592494,positive,621710112.0699999,0.0,140032741.47
FRA,France,Europe,1964,21,553.1337950087866,positive,384061698186.08997,5.467871464189808e-11,94007851047.37
GAB,Gabon,Africa,1964,0,35.27555475368609,positive,862063520.59,0.0,215679855.34
GBR,Great Britain,Europe,1964,39,491.9477877013538,positive,413193017715.75,9.438688053250085e-11,94407558351.16
GEO,Georgia,Asia,1964,0,-100.0,negative,0.0,,0.0
GHA,Ghana,Africa,1964,2,-22.853014415369614,negative,7214084507.040001,2.772354549005161e-10,1740845070.42
GRC,Greece,Europe,1964,1,165.3538032588575,positive,27074585448.8,3.6935006886479294e-11,6669673257.12
GRD,Grenada,Americas,1964,0,-100.0,negative,0.0,,0.0
GTM,Guatemala,Americas,1964,0,-5.219417710311237,negative,5825799700.0,0.0,1299099900.0
GUY,Guyana,Americas,1964,0,3.698956660104222,positive,921547696.1399999,0.0,194774513.06
HKG,Hong Kong,Asia,1964,0,113.1708170034121,positive,8458589442.8,0.0,2206466461.26
HRV,Croatia,Europe,1964,0,-100.0,negative,0.0,,0.0
HUN,Hungary,Europe,1964,46,-100.0,negative,0.0,,0.0
IDN,Indonesia,Asia,1964,0,-100.0,negative,0.0,,0.0
IND,India,Asia,1964,2,-60.8966189810447,negative,223326014918.41,8.955517344142288e-12,56480289940.99
IRL,Ireland,Europe,1964,1,226.78359300921733,positive,11485144456.21,8.706899628583267e-11,2766608945.87
