WB_country_name,WB_country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Chile,CHL,4110000000.0,4829238095.24,5631285444.23,5591307028.36,5964195925.44,6108679125.75,7162633082.32,7057478295.19,7192102966.84,8359596194.01,9144112431.28,10876091407.98,11833904487.64,16826390943.86,16209693232.08,7621570062.18,10338624019.44,13965595122.32,15992038535.2,21806136345.51,29036709871.79,34509878043.59,19529291438.37,20362016603.82,19671768029.28,17717662227.8,18897110581.45,22250729663.52,26042571602.05,29936735454.61,33137824752.77,37846188180.81,45949608605.23,49287378587.55,56998601233.07,73444831587.43,78584098982.91,85741415248.45,81990010726.02,75578685736.12,78339750717.04,71574739558.69,70264045959.6,76492579644.06,99075985721.57,122294145211.37,153843518110.85,172491075948.36,179894594475.98,171777900623.18,217051209240.3,251382574083.74,267024782642.39,277395018674.68,259560978407.1,242450355827.83,249344864067.96,276154259806.31,295857562826.43,278598887622.96,254258196269.74,316581155648.87,301024724911.92
China,CHN,59716249310.97,50056685957.36,47209186415.36,50706614526.15,59708125203.86,70436008642.43,76720005491.9,72881364882.49,70846276051.47,79705614854.77,92602634891.66,99800593790.99,113689308020.34,138543170458.06,144188970821.07,163429530659.64,153939265947.78,174935933078.66,218502169137.56,263711728825.01,306165314855.85,289576581830.45,283928672988.11,304748904221.29,313728547706.9,309835803013.59,300514204520.97,327089403146.07,407844670393.06,456289122063.16,394565747349.06,413375445354.47,493136961883.0,619111946511.63,564321854521.01,734484834573.58,863749314718.54,961601980984.62,1029060747620.65,1094010482677.39,1211331651829.85,1339400897153.44,1470557654824.11,1660280543870.95,1955346768757.64,2285961149904.26,2752118657221.64,3550327803024.69,4594336785752.06,5101691124358.41,6087191746738.57,7551545703518.14,8532185381696.43,9570471111847.82,10475624944290.1,11061572618594.7,11233313730288.5,12310491333980.9,13894907857925.9,14279968506242.8,14687744162801.0,17820459508852.2,17963171479205.3
Côte d'Ivoire,CIV,546203558.46,618245635.13,645284474.56,761047198.97,921063326.29,919771228.04,1024102881.9,1082922725.79,1281281277.98,1361360291.59,1455482795.27,1584128511.28,1849400398.25,2508421425.58,3070152313.84,3893839184.07,4662053819.63,6265068200.43,7900526290.13,9142933955.52,10175617589.12,8432589956.35,7567110855.85,6838184772.08,6841639250.22,6977650648.47,9158302111.36,10087654451.34,10255169812.02,9757410629.74,10795850584.59,10492628587.82,11152971284.47,11045760268.62,8313557515.24,11000146268.72,18071152821.07,18047558026.88,19619654769.98,18870992455.57,16577533891.18,16810537037.87,18054383333.86,21251754334.2,23510575668.44,24036918719.13,25281413268.21,28760090924.47,34078240260.4,33886813225.71,34936307964.53,36693710823.2,36302302845.3,42760235497.6,48843005625.58,45815005170.82,48407761031.92,52512344033.77,58522477744.54,59898479821.23,62982768371.62,71811075955.08,70018715016.83
Camerún,CMR,614206068.5,652777608.32,694247864.38,718320845.04,776650176.9,814083265.51,851112534.55,936175260.03,1046191217.8,1100551488.63,1151216992.88,1236941394.11,1498251889.66,1901393361.02,2157415532.55,2857037371.06,2898090001.86,3394664024.06,4662852583.13,5919002982.6,6674569046.68,6610938616.66,6611255963.84,6870200009.9,7311938026.37,8544810497.99,11857056199.08,13049659981.14,12236057362.49,11012566195.03,12314482627.85,11840192296.39,12071775335.04,16181814712.53,8902446252.18,10864772470.9,11093538846.45,10789458432.64,11298144990.41,11565826464.89,10566579294.98,10953485349.11,12417251332.59,15970315034.99,18826214135.64,19509852206.93,20910512974.93,23928250433.04,27715142032.91,27932970317.13,27507501821.03,30630910495.22,30155062329.28,33728621180.32,36386544706.08,32210233020.46,33814337044.38,36098547033.17,39973842087.22,39670976452.53,40773241177.05,44993521774.07,43644068310.85
Colombia,COL,4031152976.64,4540447761.19,4955538218.82,4836166666.67,5973366666.67,5760761904.76,5428518518.52,5825170438.49,5960212869.13,6450175213.75,7198360460.2,7820380970.54,8671358732.68,10315760000.34,12370029583.64,13098633901.87,15341403660.47,19470960619.13,23263511958.05,27940411250.27,33400735644.05,36388366869.03,38968039721.75,38729822781.6,38253120737.97,34894419443.49,34942489683.97,36373307085.09,39212550050.42,39540080200.39,47844090709.99,49637993948.84,58394443377.54,66474101301.18,81705497616.57,92495970511.4,97153389010.95,106656492293.61,98486358581.16,86278947636.96,99875074951.03,98200641203.39,97945812802.89,94644969157.1,117092416666.25,145600529626.71,161792958886.81,206229540893.23,242504150472.93,232468663073.68,286498534094.96,334966134865.3,370691143086.76,382093697077.69,381240864422.41,293492370228.84,282720100286.23,311866875135.58,334198218100.72,323031701210.77,270150956772.57,318511813576.97,343622114560.41
Costa Rica,CRI,507513829.99,490325181.61,479180824.35,511902136.81,542578367.24,592981162.26,647305630.19,699456618.87,773841494.34,853630203.77,984830158.49,1077147537.52,1238251695.55,1528925846.25,1666544754.1,1960863465.58,2412555425.9,3072427012.84,3523208809.8,4035519323.22,4831447001.17,2623803095.79,2606623554.57,3146772630.77,3660477856.23,3919203960.4,4418983870.97,4532952047.16,4614629898.4,5251025767.48,5711687786.76,7196276092.46,8564041916.15,9582868487.43,10486787008.09,11578594259.87,11678424507.25,12614602382.2,13684255946.58,14254866281.15,15013629658.65,15976174336.97,16578820687.29,17271760506.95,18610594846.21,20040642476.98,22715540324.69,26884700344.84,30801744881.95,30745714312.99,37658614803.85,42762613699.95,47231655431.14,50949668840.87,52016408951.82,56441920821.08,58847019609.65,60516044657.23,62420164991.54,64417670521.18,62395610760.39,64960725734.24,69243626028.67
Cuba,CUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5693005200.0,6914658400.0,8135150891.92,9987709650.18,11405957317.07,13027415243.9,13789579902.56,14206158674.7,17844705324.68,19584443287.67,19912889861.11,20150254096.39,20953510235.29,22204940512.22,24039383608.42,22920490774.1,24226574634.03,25213935012.08,27458999472.3,27023468665.9,28645436569.15,24316556025.66,22085858243.24,22367254864.86,28448326756.76,30429803651.22,25017368700.0,25365908100.0,25736331200.0,28364615200.0,30565400000.0,31682400000.0,33590500000.0,35901200000.0,38203000000.0,42643836100.0,48835925925.93,54262870370.37,56302129629.63,57481481481.48,59562962962.96,68990000000.0,73141000000.0,77148000000.0,80656100000.0,87132800000.0,91370407863.7,96850649691.74,100050036096.12,103427600000.0,107351800000.0,0.0,0.0
Chipre,CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489914760.68,576090073.72,734887973.98,964026512.2,1288715209.58,2154311276.95,2087496373.78,2159242416.77,2160364071.19,2278248953.14,2430411900.19,3090734463.28,3704813885.51,4278792597.24,4563482603.55,5591130217.67,5770197348.48,6912150456.32,6590291048.29,7425703928.57,9933133247.09,10011918444.17,9547818700.11,10248617647.06,10497908306.36,9985844486.33,10397897085.61,11420227884.62,14547325028.31,17320552500.0,18433411267.26,20072786350.52,23968764029.56,27844698989.31,25945391775.49,25732125693.85,27564931919.48,24977293926.29,23899444182.51,23155988617.4,19842492366.55,20952955488.08,22870678689.48,25523485042.63,25947027570.43,25227201184.23,29482917678.9,29250524418.09
República Checa,CZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40728950704.62,29859921158.87,34805013229.57,40866748705.11,47850203856.18,60147174076.87,67387788632.98,62180159376.12,66807429711.41,65173130995.22,61828166496.09,67808032979.54,82196001050.75,100090467581.27,119814434353.58,137143471328.27,156264095664.64,190183800884.02,236816485762.99,207434296805.33,209069940963.18,229562733398.95,208857719320.65,211685616592.93,209358834156.33,188033050459.88,196272068576.34,218628940951.68,249000540729.18,252548179964.9,245974558654.04,281791218507.1,290565654835.81
Alemania,DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215838448137.66,249985055484.3,299801542047.48,398374021953.9,445303484241.55,490636517211.23,519754453161.41,600498238019.04,740469983446.93,881345176608.69,950290856466.54,800472055387.28,776576439106.96,770684323247.8,725111123634.12,732534887058.2,1046259374943.71,1298176105549.51,1401233225303.49,1398967436804.33,1771671206875.68,1868945197407.19,2131571696931.75,2071323790370.28,2205074123177.05,2585792275146.72,2497244606186.64,2211989623279.95,2238990774702.68,2194945278872.59,1947981991011.77,1945790973803.15,2078484517474.51,2501640388482.35,2814353869359.08,2846864211175.1,2994703642023.53,3425578382921.58,3745264093617.19,3411261212652.34,3399667820000.01,3749314991050.59,3527143188785.16,3733804649549.03,3889093051023.52,3357585719351.56,3469853463945.53,3690849152517.65,3974443355019.6,3889177589254.9,3887727161914.41,4278503934689.85,4082469490797.68
