WB_country_code,WB_country_name,Latitude,Longitude,year,medals_cumsum
PHL,Philippines,14.6,120.97,1964,1
POL,Poland,52.25,21.0,1964,45
PRI,Puerto Rico,18.47,-66.12,1964,0
PRK,North Korea,39.02,125.75,1964,0
PRT,Portugal,38.72,-9.13,1964,2
PRY,Paraguay,-25.27,-57.67,1964,0
QAT,Qatar,25.28,51.53,1964,0
ROU,Romania,44.43,26.1,1964,23
RUS,Russia,55.75,37.6,1964,208
SAU,Saudi Arabia,24.65,46.7,1964,0
SDN,Sudan,15.6,32.53,1964,0
SEN,Senegal,14.73,-17.63,1964,0
SGP,Singapore,1.28,103.85,1964,1
SMR,San Marino,43.93,12.42,1964,0
SRB,Serbia,44.83,20.5,1964,0
SUR,Suriname,5.83,-55.17,1964,0
SVK,Slovakia,48.15,17.12,1964,0
SVN,Slovenia,46.05,14.52,1964,0
SWE,Sweden,59.33,18.05,1964,17
SYR,Syria,33.5,36.3,1964,0
TGO,Togo,6.12,1.22,1964,0
THA,Thailand,13.75,100.52,1964,0
TJK,Tajikistan,38.55,68.77,1964,0
TKM,Turkmenistan,37.95,58.38,1964,0
TON,Tonga,-21.13,-175.2,1964,0
TTO,Trinidad and Tobago,10.65,-61.52,1964,3
TUN,Tunisia,36.8,10.18,1964,2
TUR,Turkey,39.93,32.87,1964,15
TZA,Tanzania,-6.8,39.28,1964,0
UGA,Uganda,0.32,32.55,1964,0
UKR,Ukraine,50.43,30.52,1964,0
URY,Uruguay,-34.85,-56.17,1964,1
USA,United States,38.88,-90.0,1964,166
UZB,Uzbekistan,41.32,69.25,1964,0
VEN,Venezuela,10.48,-66.87,1964,1
VIR,United States Virgin Islands,18.35,-64.93,1964,0
VNM,Vietnam,21.03,105.85,1964,0
WSM,Samoa,-13.82,-171.77,1964,0
XKX,Kosovo,42.67,21.17,1964,0
YGL,Yugoslavia,44.83,20.5,1964,7
ZAF,South Africa,-25.7,28.22,1964,3
ZMB,Zambia,-15.42,28.28,1964,0
ZWE,Zimbabwe,-17.82,31.03,1964,0
AFG,Afghanistan,34.52,69.18,1968,0
ARE,United Arab Emirates,24.47,54.37,1968,0
ARG,Argentina,-34.58,-58.67,1968,5
ARM,Armenia,40.17,44.5,1968,0
AUS,Australia,-35.27,149.13,1968,57
AUT,Austria,48.2,16.37,1968,8
AZE,Azerbaijan,40.38,49.87,1968,0
BDI,Burundi,-3.37,29.35,1968,0
BEL,Belgium,50.83,4.33,1968,10
BFA,Burkina Faso,12.37,-1.52,1968,0
BGR,Bulgaria,42.68,23.32,1968,26
BHR,Bahrain,26.23,50.57,1968,0
BHS,Bahamas,25.08,-77.35,1968,2
BLR,Belarus,53.9,27.57,1968,0
BMU,Bermuda,32.28,-64.78,1968,0
BRA,Brazil,-15.78,-47.92,1968,7
BRB,Barbados,13.1,-59.62,1968,0
BWA,Botswana,-24.63,25.9,1968,0
CAN,Canada,45.42,-75.7,1968,11
CHE,Switzerland,46.92,7.47,1968,16
CHL,Chile,-33.45,-70.67,1968,0
CHN,China,39.92,116.38,1968,2
CIV,Côte d'Ivoire,6.82,-5.27,1968,0
CMR,Cameroon,3.87,11.52,1968,1
COL,Colombia,4.6,-74.08,1968,0
CRI,Costa Rica,9.93,-84.08,1968,0
CUB,Cuba,23.12,-82.35,1968,5
CYP,Cyprus,35.17,33.37,1968,0
CZE,Czech Republic,49.81,15.47,1968,37
DEU,Germany,52.52,13.4,1968,152
DJI,Djibouti,11.58,43.15,1968,0
DNK,Denmark,55.67,12.58,1968,23
DOM,Dominican Republic,18.47,-69.9,1968,0
DZA,Algeria,36.75,3.05,1968,0
ECU,Ecuador,-0.22,-78.5,1968,0
EGY,Egypt,30.05,31.25,1968,2
ERI,Eritrea,15.33,38.93,1968,0
ESP,Spain,40.4,-3.68,1968,1
EST,Estonia,59.43,24.72,1968,0
